"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1606158,"January 25, 2020",Louisiana,Keithville,"1900 block of Post Oak Dr",0,1,N/A
1606184,"January 25, 2020",California,Fresno,"2200 block of Tyler Ave",0,2,N/A
1605309,"January 25, 2020",Louisiana,"Baton Rouge","1915 Birch St",1,0,N/A
1605578,"January 25, 2020",Florida,Tampa,"4330 N 40th St",0,2,N/A
1606756,"January 24, 2020",Colorado,"Estes Park","Upper Beaver Meadows Rd",2,0,N/A
1604743,"January 24, 2020",Louisiana,"Baton Rouge","10451 Reiger Rd",0,1,N/A
1604512,"January 24, 2020",Florida,Ocala,"3600 block of NE 21st St",0,1,N/A
1606476,"January 24, 2020","North Carolina",Vanceboro,"107 Kinshaw Ct",5,0,N/A
1605015,"January 24, 2020","North Carolina",Wilson,"817 Rountree St",0,1,N/A
1604950,"January 24, 2020",Ohio,Columbus,"1900 block of Jermain Dr",0,1,N/A
1604776,"January 23, 2020",Ohio,Cleveland,"W 38th St and Robert Ave",0,1,N/A
1603806,"January 23, 2020",California,Oxnard,"3300 Via Marina Ave",0,1,N/A
1603936,"January 23, 2020",Missouri,"Kansas City","E 57th St and Wabash Ave",0,3,N/A
1603241,"January 22, 2020",Washington,Seattle,"1530 3rd Ave",1,7,N/A
1603819,"January 22, 2020",Texas,Midland,"2009 E Pine Ave",0,2,N/A
1603086,"January 21, 2020",Arkansas,Blytheville,"Lonnie St",0,1,N/A
1601672,"January 20, 2020",Missouri,"Saint Louis","4000 block of Meramec St",0,1,N/A
1601841,"January 20, 2020",Tennessee,Memphis,"6872 Kirby Mills Cove",2,0,N/A
1600727,"January 19, 2020",Texas,"Fort Worth","4630 McPherson Blvd",0,2,N/A
1600999,"January 19, 2020",Tennessee,Memphis,"Josephine St and Carnes Ave",1,0,N/A
1601442,"January 19, 2020",Indiana,Bloomington,"1297 E Zinnia Dr",1,1,N/A
1601692,"January 19, 2020",Texas,Dallas,"I-35 and Manana Dr",0,1,N/A
1598759,"January 17, 2020","District of Columbia",Washington,"900 block of Wahler Pl SE",0,2,N/A
1598447,"January 16, 2020",Illinois,Chicago,"234 N Pulaski Rd",0,5,N/A
1598580,"January 15, 2020",Alabama,Athens,"Aretha St",0,1,N/A
1597395,"January 15, 2020",California,"Los Angeles","500 block of Woodlawn Ave",0,1,N/A
1597618,"January 15, 2020",Florida,"Fort Lauderdale","3260 Davie Blvd",0,1,N/A
1597971,"January 14, 2020",Idaho,Meridian,"2100 block of 9th Ave",0,1,N/A
1597574,"January 14, 2020",Missouri,"Saint Louis","Natural Bridge Ave and Goodfellow Blvd",0,1,N/A
1597479,"January 14, 2020",Mississippi,Meridian,"2100 block of 9th Ave",0,1,N/A
1595572,"January 13, 2020",Ohio,"Dayton (Riverside)","Eubanks Dr and Airway Rd",0,1,N/A
1595629,"January 13, 2020",Missouri,"Saint Louis","10100 block of Duke Dr",0,1,N/A
1594669,"January 12, 2020",Pennsylvania,Philadelphia,"100 block of E Pastorius St",0,2,N/A
1594341,"January 12, 2020",Indiana,"Fort Wayne","3200 block of Logan Ave",0,1,N/A
1593690,"January 10, 2020",Missouri,"Saint Louis","1600 block of W Pine Blvd",0,1,N/A
1593599,"January 10, 2020",Tennessee,"Soddy Daisy","12457 Nee Cee Dr",0,2,N/A
1593698,"January 10, 2020",Florida,Jacksonville,"500 Acme St",0,1,N/A
1592529,"January 9, 2020",Michigan,Detroit,"15800 block of Lappin St",0,1,N/A
1591720,"January 8, 2020",Missouri,"Kansas City","2044 Wheeling Ave",1,1,N/A
1591354,"January 7, 2020",Texas,Houston,"Perry Rd and Cypress N Houston Rd",0,1,N/A
1589053,"January 5, 2020",Texas,Dallas,"10060 block of Royal Ln",0,1,N/A
1589050,"January 5, 2020",Texas,Dallas,"2900 block of Valentine St",1,1,N/A
1588978,"January 4, 2020","South Carolina","North Charleston","3900 block of Walnut St",0,1,N/A
1588313,"January 3, 2020",Florida,Ocala,"2600 SW 10th St",0,3,N/A
1586315,"January 1, 2020","South Carolina",Walterboro,"Barracada Rd",2,0,N/A
1587369,"January 1, 2020","North Carolina",Greensboro,"3600 block of Sweet Birch Dr",3,0,N/A
1587340,"January 1, 2020",Texas,Brownsville,"7313 Villa Pancho Dr",0,1,N/A
